-free-
Strange, large desert rock formations.
A sand dune.
A stone column.
A large rock.
A plate flower.
A sand mushroom.
An insect-eating plant.
A flesh-eating plant.
A blooming cactus, which grows very slowly.
Plant parts.
Herbaceous plants.
Rocks.
Tufts of grass.
Roots, pieces of wood, branches.
A stone castle built of rocks.
Rapids.
The water is deep and the current appears to be strong.
Water plants.
Water plant sprouts.
A whirlpool.
A shade tree.
These prairie trees thrive on very dry soil.
A prairie flower.
A tower rock.
Gravel.
A large rock bridge.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
Placeholder for further events.
